"cohort","model","task","run","trial_id","status","screenshot_path","screenshot_sha256","capture_error_path","result_json_path"
"claude-reference","claude-opus-4.7","bluetooth_toggle_on","0","122854","available","research/evaluation/model-trial-screenshots/claude-reference/122854__claude-opus-4-7__bluetooth_toggle_on__r0.png","162bf7dcd71c91c0077622596b44d966f5eb9552e76e7efa69fbf29c8b33e1c8","","research/evaluation/results/claude/122854__claude-opus-4-7__bluetooth_toggle_on__r0.json"
"claude-reference","claude-opus-4.7","bluetooth_toggle_on","1","123407","available","research/evaluation/model-trial-screenshots/claude-reference/123407__claude-opus-4-7__bluetooth_toggle_on__r1.png","03829187eca11333d5fe5ef7fc0ae955bafe1b7985e7f8dd56346934f9debd90","","research/evaluation/results/claude/123407__claude-opus-4-7__bluetooth_toggle_on__r1.json"
"claude-reference","claude-opus-4.7","brightness_set_50","0","135952","available","research/evaluation/model-trial-screenshots/claude-reference/135952__claude-opus-4-7__brightness_set_50__r0.png","f890f1fe3d06f56ac710981c1872ca90fdab3d647388eaba7bf9d74384ab8829","","research/evaluation/results/claude/135952__claude-opus-4-7__brightness_set_50__r0.json"
"claude-reference","claude-opus-4.7","brightness_set_50","1","140140","available","research/evaluation/model-trial-screenshots/claude-reference/140140__claude-opus-4-7__brightness_set_50__r1.png","f80155b35f68850d6bf1ad58cf8264c56a9d4c304937c4814cd1e778cab52f98","","research/evaluation/results/claude/140140__claude-opus-4-7__brightness_set_50__r1.json"
"claude-reference","claude-opus-4.7","dark_mode_off","0","122246","available","research/evaluation/model-trial-screenshots/claude-reference/122246__claude-opus-4-7__dark_mode_off__r0.png","fe3cd3de75eedf9357edcc38b94b158882ab9f2769ab65cff9ec7a557c80b91c","","research/evaluation/results/claude/122246__claude-opus-4-7__dark_mode_off__r0.json"
"claude-reference","claude-opus-4.7","dark_mode_off","1","122358","available","research/evaluation/model-trial-screenshots/claude-reference/122358__claude-opus-4-7__dark_mode_off__r1.png","85f59c58851ecf4523eec26979505a1de4f424f497999ec8fdf3458edb631267","","research/evaluation/results/claude/122358__claude-opus-4-7__dark_mode_off__r1.json"
"claude-reference","claude-opus-4.7","dark_mode_on","0","122021","available","research/evaluation/model-trial-screenshots/claude-reference/122021__claude-opus-4-7__dark_mode_on__r0.png","00c7f174f5e00a81f48c564eba6b8fd3d6a6f38b7caedb1124e45a6125865e2b","","research/evaluation/results/claude/122021__claude-opus-4-7__dark_mode_on__r0.json"
"claude-reference","claude-opus-4.7","dark_mode_on","1","122135","available","research/evaluation/model-trial-screenshots/claude-reference/122135__claude-opus-4-7__dark_mode_on__r1.png","acef10c6f0144f233a369dde0e3ccbf0e317086fb678767f703d2b3ad70d89f2","","research/evaluation/results/claude/122135__claude-opus-4-7__dark_mode_on__r1.json"
"claude-reference","claude-opus-4.7","pizza_search","0","140627","available","research/evaluation/model-trial-screenshots/claude-reference/140627__claude-opus-4-7__pizza_search__r0.png","a000928efb06ed2875cf326dffd324bf3ffdaae498374ad9c17b54d13dc0e86e","","research/evaluation/results/claude/140627__claude-opus-4-7__pizza_search__r0.json"
"claude-reference","claude-opus-4.7","pizza_search","1","140732","available","research/evaluation/model-trial-screenshots/claude-reference/140732__claude-opus-4-7__pizza_search__r1.png","e126b7622c24fcdc3dbc5bacb8209c509a860abc33ad390ead2f470252fd0901","","research/evaluation/results/claude/140732__claude-opus-4-7__pizza_search__r1.json"
